"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"88"	"Positive Regulation of Protein Catabolic Process (GO:0045732)"	"88"	0.00367366120060616	0.0364026428060065	0	0	10.4641393442623	58.6678932228226	"CDKN1B;APC;PTEN"
"89"	"Negative Regulation of Osteoblast Differentiation (GO:0045668)"	"89"	0.00378683780601036	0.0366902507426781	0	0	23.9218658892128	133.393681742428	"CDK6;PTEN"
"90"	"Negative Regulation of Smooth Muscle Cell Proliferation (GO:0048662)"	"90"	0.00378683780601036	0.0366902507426781	0	0	23.9218658892128	133.393681742428	"CDKN1B;PTEN"
"91"	"Negative Regulation of Epithelial to Mesenchymal Transition (GO:0010719)"	"91"	0.00399091553495954	0.0381500856458448	0	0	23.2562358276644	128.461274902812	"PTEN;FBXO11"
"92"	"Positive Regulation of Multicellular Organismal Process (GO:0051240)"	"92"	0.00417455941970533	0.0381500856458448	0	0	5.13421106348234	28.129040660514	"APC;GRB10;PLEKHM1;CTNNB1;PIK3CD"
"93"	"Negative Regulation of Cell Cycle G1/S Phase Transition (GO:1902807)"	"93"	0.00420000942890035	0.0381500856458448	0	0	22.6265857694429	123.827803400261	"APC;PTEN"
"94"	"DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0030330)"	"94"	0.00420000942890035	0.0381500856458448	0	0	22.6265857694429	123.827803400261	"CDKN1B;TP53"
"95"	"Regulation of Response to Biotic Stimulus (GO:0002831)"	"95"	0.00420000942890035	0.0381500856458448	0	0	22.6265857694429	123.827803400261	"LRP8;FOXP1"
"96"	"Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:0072332)"	"96"	0.00420000942890035	0.0381500856458448	0	0	22.6265857694429	123.827803400261	"DYRK2;TP53"
"97"	"Regulation of Cell Cycle Phase Transition (GO:1901987)"	"97"	0.00441409439680054	0.0388797001415158	0	0	22.0300751879699	119.468053201643	"CDKN1B;TP53"
"98"	"Canonical NF-kappaB Signal Transduction (GO:0007249)"	"98"	0.00441409439680054	0.0388797001415158	0	0	22.0300751879699	119.468053201643	"NPM1;NFKB1"
"99"	"Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)"	"99"	0.00441409439680054	0.0388797001415158	0	0	22.0300751879699	119.468053201643	"CDKN1B;PTEN"
"100"	"Organelle Transport Along Microtubule (GO:0072384)"	"100"	0.0046331454348569	0.0400010180118339	0	0	21.4641548927263	115.359514342018	"CDC42;PAFAH1B1"
"101"	"Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209)"	"101"	0.0046331454348569	0.0400010180118339	0	0	21.4641548927263	115.359514342018	"TP53;NFKB1"
"102"	"Positive Regulation of Signal Transduction (GO:0009967)"	"102"	0.0051214445341782	0.0437833297431705	0	0	6.22812812043936	32.8491328865499	"DYRK2;PTEN;GRB10;WLS"
"103"	"Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0043491)"	"103"	0.00555851335104957	0.0466059965588003	0	0	19.4636924537257	101.063755296808	"PTEN;PIK3CD"
"104"	"Regulation of Telomere Maintenance via Telomerase (GO:0032210)"	"104"	0.00555851335104957	0.0466059965588003	0	0	19.4636924537257	101.063755296808	"CTNNB1;TP53"
"105"	"Regulation of Dendrite Development (GO:0050773)"	"105"	0.00580202280699971	0.0481844179781309	0	0	19.0204081632653	97.9465174155362	"BCL11A;LRP8"
"106"	"Lysosome Localization (GO:0032418)"	"106"	0.00605035017673809	0.0497726920199586	0	0	18.5968253968254	94.9858730564188	"PLEKHM1;PIK3CD"
