go_id	original_term	simplified_term	group	theme	traits	best_adjp	genes
GO:0001654	Eye Development	Eye development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.00174625642158492	BMPR1B;EFEMP1;FBN1;FBN2;NIPBL;SKI;SMOC1;TGFB2
GO:0048592	Eye Morphogenesis	Eye development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.000170519086848847	EFEMP1;FBN1;FBN2;MFAP2;NIPBL;SKI;SOX4
GO:1902747	Negative Regulation of Lens Fiber Cell Differentiation	Eye development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0161513017728003	SPRED1;SPRY2
GO:1902746	Regulation of Lens Fiber Cell Differentiation	Eye development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0206234616157452	SPRED1;SPRY2
GO:0035850	Epithelial Cell Differentiation Involved in Kidney Development	Kidney / renal development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.0109392646581587	MEF2C;SALL1
GO:0001822	Kidney Development	Kidney / renal development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.00180190088042653	GLI2;NIPBL;PCSK5;SALL1;SOX4;TGFB2;WNT4
GO:0090190	Positive Regulation of Branching Involved in Ureteric Bud Morphogenesis	Kidney / renal development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.0237974666212436	SMO;SOX9
GO:0090189	Regulation of Branching Involved in Ureteric Bud Morphogenesis	Kidney / renal development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.0329900540104893	SMO;SOX9
GO:0072001	Renal System Development	Kidney / renal development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.0123013324987998	GLI2;PCSK5;SALL1;TGFB2;WNT4
GO:0003323	Type B Pancreatic Cell Development	Pancreatic β-cell development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.000907380004899923	BMP5;BMP6;CDK6
GO:0003309	Type B Pancreatic Cell Differentiation	Pancreatic β-cell development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb+trunk	0.00298374415954639	BMP5;BMP6;CDK6
GO:0021983	Pituitary Gland Development	Pituitary development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	limb	0.014066626231916	GLI2;SALL1
GO:0007423	Sensory Organ Development	Sensory-organ development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.0127994284174079	BMPR1B;ECE1;SMCHD1;SMOC1;TGFB2
GO:0090596	Sensory Organ Morphogenesis	Sensory-organ development	Other organ & epithelial morphogenesis	Cardiovascular, organ & tissue development	trunk	0.030208924490067	NIPBL;SKI
GO:0043066	Negative Regulation of Apoptotic Process	Apoptosis	Apoptosis, DNA damage & p53	Cell-cycle, growth & survival	cortical+trunk	8.09148350356681e-05	AKT3;ANXA5;CCND2;CTNNB1;DAB2;FOXO1;GRK5;HMGA2;IGF1;IGF1R;LEF1;MEF2C;MYC;NFE2L2;NFKB1;NPM1;PIK3R1;PRKCA;RICTOR;SMAD6;SOCS2;SPRY2;TP53;WNT5A
GO:0043069	Negative Regulation of Programmed Cell Death	Apoptosis	Apoptosis, DNA damage & p53	Cell-cycle, growth & survival	cortical+trunk	8.95714022894436e-05	AKT3;ANXA5;CCND2;CTNNB1;DAB2;FOXO1;GRK5;HMGA2;IGF1;IGF1R;LEF1;MYC;NFE2L2;NFKB1;NPM1;PIK3R1;RICTOR;SMAD6;SOCS2;SPRY2;TP53;WNT5A
GO:0043065	Positive Regulation of Apoptotic Process	Apoptosis	Apoptosis, DNA damage & p53	Cell-cycle, growth & survival	trunk	5.90091018890356e-05	ABL1;BCL6;BMP2;CTNNB1;DLC1;FOXO1;FOXO3;IGFBP3;KCNMA1;LATS2;RYBP;SFRP4;SOX4;TGFB2;WNT5A
GO:0043068	Positive Regulation of Programmed Cell Death	Apoptosis	Apoptosis, DNA damage & p53	Cell-cycle, growth & survival	trunk	0.000533716754861014	ABL1;BCL6;BMP2;CTNNB1;FOXO1;FOXO3;IGFBP3;KCNMA1;LATS2;RYBP;SFRP4;SOX4
