"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"63"	"External Encapsulating Structure Organization (GO:0045229)"	"63"	0.000201579871871584	0.00443601779881542	0	0	7.74780952380952	65.9286282585809	"ADAMTS5;SMOC2;ADAMTS3;ADAMTS17;ADAMTS10;MATN3"
"64"	"Extracellular Structure Organization (GO:0043062)"	"64"	0.000201579871871584	0.00443601779881542	0	0	7.74780952380952	65.9286282585809	"ADAMTS5;SMOC2;ADAMTS3;ADAMTS17;ADAMTS10;MATN3"
"65"	"Nervous System Development (GO:0007399)"	"65"	0.000204497274413477	0.00443601779881542	0	0	3.50378055213645	29.7644613108929	"MEF2C;DLX5;FN1;FBXL17;CRIM1;CABLES1;POU3F3;DNM3;ACAN;SMO;BOC;FGF18;IGF2BP2"
"66"	"Positive Regulation of Bone Mineralization (GO:0030501)"	"66"	0.000211761020533507	0.00452398543867037	0	0	15.3443609022556	129.814093913557	"FBN2;MEF2C;BMP2;BMP6"
"67"	"Positive Regulation of Cell-Substrate Adhesion (GO:0010811)"	"67"	0.000217184038264784	0.00457058946199023	0	0	10.0701789067906	84.939597231675	"DOCK5;CDK6;FN1;FBLN1;FBLN2"
"68"	"Negative Regulation of Chondrocyte Differentiation (GO:0032331)"	"68"	0.000221919329207319	0.00460156256150469	0	0	30.814479638009	259.248276063287	"EFEMP1;SNAI2;SOX9"
"69"	"Positive Regulation of SMAD Protein Signal Transduction (GO:0060391)"	"69"	0.000233911342313849	0.00477992742989169	0	0	14.9173976608187	124.71792339482	"TGFB2;BMP2;SMAD3;BMP6"
"70"	"Epithelium Development (GO:0060429)"	"70"	0.000247810986088986	0.00499162129122101	0	0	6.10949062123559	50.7261491070445	"BMP2;TGFB2;SALL1;SMO;PTCH1;SNAI2;SOX9"
"71"	"Embryonic Organ Development (GO:0048568)"	"71"	0.000263075730484945	0.00522446168991229	0	0	9.63718070009461	79.4399418009567	"TGFB2;SALL1;PCSK5;TEAD1;GLI2"
"72"	"Regulation of Cell Growth (GO:0001558)"	"72"	0.000270904063819475	0.00530520458313138	0	0	5.18304086076598	42.572180141806	"SOCS2;TGFB2;SMAD3;CDKN2C;BCL6;SLIT3;TEAD1;PAPPA2"
"73"	"Negative Regulation of Cell Cycle (GO:0045786)"	"73"	0.000279898899227531	0.00540626640973725	0	0	9.50097938625128	77.7282923340849	"NPPC;BMP2;LATS2;CDK6;GAS1"
"74"	"Heterochromatin Organization (GO:0070828)"	"74"	0.000307559197206663	0.00583455107715544	0	0	7.13298245614035	57.6833090876674	"RYBP;PCGF5;SCMH1;SMARCA5;HMGA2;EZH2"
"75"	"Positive Regulation of Ossification (GO:0045778)"	"75"	0.000310348461550821	0.00583455107715544	0	0	13.7678812415655	111.214395164225	"FBN2;MEF2C;BMP2;BMP6"
"76"	"Regulation of Smoothened Signaling Pathway (GO:0008589)"	"76"	0.000315982254465301	0.00586230235257992	0	0	9.2397713870997	74.4709358251811	"HHIP;PTCH1;BOC;FBXL17;GAS1"
"77"	"Regulation of Canonical Wnt Signaling Pathway (GO:0060828)"	"77"	0.000334662124698682	0.00605737275896597	0	0	5.01487726258368	40.1309992346581	"TLE3;BMP2;LATS2;BAMBI;SNAI2;FAM53B;GPC5;SOX9"
"78"	"Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)"	"78"	0.00033529296112047	0.00605737275896597	0	0	9.11446214426347	72.9203081376622	"TGFB2;SMAD3;ZMIZ1;BAMBI;LTBP2"
"79"	"Positive Regulation of Biomineral Tissue Development (GO:0070169)"	"79"	0.000339384714864051	0.00605737275896597	0	0	13.4230263157895	107.228184515926	"FBN2;MEF2C;BMP2;BMP6"
"80"	"Negative Regulation of Cell Growth (GO:0030308)"	"80"	0.000366794331673955	0.00644622688785436	0	0	6.88983050847458	54.5034460800624	"TGFB2;SMAD3;LATS2;CDKN2C;BCL6;SLIT3"
"81"	"Embryonic Organ Morphogenesis (GO:0048562)"	"81"	0.000370315161642697	0.00644622688785436	0	0	13.0949935815148	103.465588765266	"FBN2;EFEMP1;MFAP2;FBN1"
"82"	"Regulation of Nitric Oxide Biosynthetic Process (GO:0045428)"	"82"	0.000403209870417705	0.00686714011881466	0	0	12.7825814536341	99.9093387368202	"PTGIS;SMAD3;INSR;ESR1"
"83"	"Positive Regulation of Cellular Process (GO:0048522)"	"83"	0.000404235907703274	0.00686714011881466	0	0	3.09555590277003	24.1871629467603	"TGFB2;IRS1;INSR;LEF1;FN1;POU3F3;BMP6;IGF1R;BMP2;BAMBI;FGF18;SOX9;TEAD1;EZH2"
"84"	"Positive Regulation of Angiogenesis (GO:0045766)"	"84"	0.00041680284082637	0.0069963333995855	0	0	6.71801652892562	52.2856323801602	"SMOC2;PTGIS;FGF18;HMGA2;PIK3CD;ITGB8"
"85"	"Cardiac Epithelial to Mesenchymal Transition (GO:0060317)"	"85"	0.000441831061192174	0.00716071030208005	0	0	23.5594002306805	181.986541650932	"TGFB2;BMP2;SNAI2"
"86"	"Limb Morphogenesis (GO:0035108)"	"86"	0.000441831061192174	0.00716071030208005	0	0	23.5594002306805	181.986541650932	"TGFB2;PTCH1;PCSK5"
"87"	"Pulmonary Valve Morphogenesis (GO:0003184)"	"87"	0.000441831061192174	0.00716071030208005	0	0	23.5594002306805	181.986541650932	"ADAMTS5;TGFB2;NFATC1"
"88"	"Regulation of Ossification (GO:0030278)"	"88"	0.000475174418301194	0.0075280441551088	0	0	12.2003588516746	93.3550550953715	"MEF2C;BMP2;SMAD3;SOX9"
"89"	"Positive Regulation of miRNA Transcription (GO:1902895)"	"89"	0.000475174418301194	0.0075280441551088	0	0	12.2003588516746	93.3550550953715	"TGFB2;SMAD3;NR3C1;TEAD1"
"90"	"Atrioventricular Valve Morphogenesis (GO:0003181)"	"90"	0.000512614738044204	0.00803096422935919	0	0	22.2494553376906	168.56156198796	"TGFB2;BMP2;SLIT3"
"91"	"Protein Phosphorylation (GO:0006468)"	"91"	0.000542346369032684	0.00840338879490202	0	0	4.16719525648097	31.3356652177278	"EFEMP1;LATS2;INSR;TLK1;PIK3CD;ERG;CDC42BPA;MARK3;IGF1R"
"92"	"Regulation of Germinal Center Formation (GO:0002634)"	"92"	0.000561392567655443	0.00851143570316317	0	0	88.4848484848485	662.317066320188	"MEF2C;BCL6"
